crs,adt,count,sum
15110,32182,24,54749918
15110,32200,1,238860
15110,32210,7,2896813
15110,32220,9,7157749
15110,32310,24,35792659
15110,33100,3,5770861
15110,33105,11,159776039
15110,33110,61,31786287
15110,33120,122,191457264
15110,33130,26,71770257
15110,33140,4,1220126
15110,33181,2,374861
15110,33210,13,1386480
15110,41000,4,904147
15110,41005,28,13919391
15110,41010,113,82391143
15110,41020,1,33017
15110,41030,15,7958883
15110,41040,3,137906
15110,41050,4,587481
15110,41081,7,847615
15110,41082,13,2827331
15110,42010,93,29262354
15110,43010,244,324582623
15110,43030,152,134684824
15110,43040,133,184754717
15110,43081,76,21221721
15110,43082,412,157504248
15110,51010,824,1743570176
15110,52010,31,57227820
15110,53040,9,1237738
15110,53050,18,16817043
15110,60010,22,21399003
15110,60020,6,9635693
15110,60030,5,24656208
15110,60040,1,346167
15110,70000,13,116278017
15110,72000,7,2099738
15110,72010,47,195121460
15110,72050,257,104826624
15110,73010,222,1310586278
15110,74010,89,90144922
15110,910,1,148981
15110,91010,631,236405170
15110,92005,60,38767901
15110,92010,20,5145596
15110,92020,147,123760223
15110,92030,59,17658780
15110,99810,2850,1619248874
15110,99820,23,2487298
15111,11105,5,512003
15111,11110,4,3231133
15111,11120,4,137517
15111,11220,5,55602992
15111,11230,1,657484
15111,11320,1,235187
15111,11330,1,486046
15111,11420,7,2446574
15111,11430,1,2038286
15111,12110,2,872258
15111,13040,4,744588
15111,14010,4,14583539
15111,14020,3,518777
15111,14050,1,68336
15111,15000,16,7051629
15111,15100,173,234845579
15111,15105,18,27397918
15111,15110,507,1130961427
15111,15120,1983,1730340771
15111,15130,72,46125314
15111,15140,224,404256152
15111,15150,79,42553374
15111,15205,6,2769020
15111,15210,35,14160007
15111,15220,5,1960247
15111,15230,1,507318
15111,16010,32,5971006
15111,16020,5,1765335
15111,16050,1,143052
15111,21005,1,299862
15111,21010,2,151613
15111,21020,1,9995364
15111,21050,1,239888
15111,22010,1,224727
15111,22030,3,32233
15111,22040,9,4226859
15111,24005,5,11941428
15111,24010,26,23880246
15111,24020,2,625453
15111,24030,4,644761
15111,24040,3,51868
15111,24081,2,5767821
15111,25010,16,14373590
15111,25020,6,3198124
15111,25081,1,90860
15111,31000,1,179793
15111,31105,1,706616
15111,31120,2,3240276
15111,31210,1,11294579
15111,32120,3,602486
15111,32210,2,1409380
15111,32310,3,176667
15111,33105,1,23787
15111,33110,5,13808833
15111,33120,12,13865901
15111,33130,1,2531607
15111,41005,3,158278
15111,41010,4,220982
15111,41020,1,446392
15111,41081,1,537
15111,42010,6,596508
15111,43010,15,11179819
15111,43030,12,874594
15111,43040,7,2464061
15111,43081,28,3184717
15111,43082,5,668430
15111,51010,68,84337330
15111,53050,1,58624
15111,60010,43,27294362
15111,73010,3,13352332
15111,74010,1,259331
15111,91010,21,4732176
15111,92005,4,3505451
15111,92010,1,119510
15111,92020,12,5960371
15111,92030,4,147901
15111,99810,218,235043045
15111,99820,1,23495
15112,15100,3,573395
15112,15130,1,27678
15112,15140,60,259999482
15112,15150,6,1486707
15112,15220,1,59350
15112,43030,19,3554992
15112,99810,74,15971715
15113,11105,4,9949
15113,15140,22,20783021
15113,99810,1,373863
15120,11120,1,518125
15120,11240,1,
15120,11420,1,11725
15120,15100,21,57233969
15120,15105,1,58965
15120,15110,45,48306581
15120,15120,183,131519119
15120,15130,6,2098169
15120,15140,19,11384489
15120,15150,9,6583638
15120,16010,6,10453378
15120,16020,1,210844
15120,16030,1,21958
15120,21030,1,202291
15120,22030,1,3369
15120,22040,2,3290434
15120,24010,4,1276769
15120,24030,4,643803
15120,24081,1,303518
15120,25010,5,1386287
15120,25020,3,37161128
15120,25081,1,12629
15120,31120,1,3429229
15120,31191,2,
15120,32310,1,355686
15120,33105,1,2037437
15120,33120,2,1096491
15120,41010,1,
15120,42010,2,432793
15120,43010,83,2752175628
15120,43040,1,33695
15120,51010,5,24214206
15120,60010,4,10162
15120,91010,2,3823
15120,92030,1,315649
15120,99810,104,2057596955
15130,11105,1,
15130,11110,1,499169
15130,11120,3,639641
15130,11130,1,581888
15130,11220,2,203293
15130,11320,1,100058
15130,11330,3,3546632
15130,11420,31,29673209
15130,12182,1,364431
15130,12191,2,1626982
15130,13010,5,484068
15130,14020,1,14810
15130,15000,67,82516711
15130,15100,264,369632979
15130,15105,30,23115304
15130,15110,127,117174530
15130,15120,70,30827177
15130,15130,5873,4624709143
15130,15140,262,266693257
15130,15150,449,300778341
15130,15200,1,45054
15130,15205,46,22092885
15130,15210,67,108035856
15130,15220,69,53954145
15130,15230,16,28558743
15130,15240,8,3116174
15130,15261,2,399315
15130,16010,181,45690102
15130,16020,29,6928340
15130,16030,7,2549033
15130,16050,3,297071
15130,16081,45,2198804
15130,21020,2,476938
15130,21040,1,373539
